text,summary,fidelity
"CT Components: Cells
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
proteoglycans adhesive glycoproteins CT cell Ground Protein
substance
fibres
13","most of the matrix, I think I've covered all the matrix components. The last thing is the cells of connective tissue, of the various connective tissues.",yes
"All CT Cells are Derived from Mesenchyme, Embryonic CT
GHA3.2
*
*
*endothelial and mesothelial cells will be described as epithelial
cells because they cover surfaces; however, based on their
embryological derivation, they can be considered CT cells
14
From Colour Atlas of Histology 5th ed., by Gartner and Hiatt, Â© 2009 by Elsevier","This is a nice graphic that illustrates that all connective tissue are derived from an embryonic,
Tissue.
called mesenchyme. So this picture is showing an illustration, the artist illustration, of a mesenchymal cell, which is an embryonic connective tissue cell. It's undifferentiated.
It has yet to go down that path of committing to become one type of connective tissue cell or another type of connective tissue cell.
And you can see that the connective tissue cell can become an osteoblast.
ultimately becoming an osteocyte. So let's talk about that language. So osteo, of course, means bone.
When you use the root term blast versus sight, a blast is a very active cell. Usually, it's a younger cell.
That'sÉ that's very active inÉ Creating the extracellular matrix.
So that's osteoblast. When you see the root word site.
It's talking more about a mature cell who's finished creating connective tissue, extracellular matrix. It's more about maintaining.
Extracellular matrix.
So, that's the more mature cell.
So, osteoblast, osteocl site. All right, what else? I've circled fibroblast. So that's the connective tissue cell and bone.
The connective tissue cell in ordinary connective tissue is called a fibroblast. It's busy making extracellular matrix. It settles down to become a fibrocyte.
In a mature tissue.
Then I've got, these mesenchymal cells, they form adipocytes.
And, the adipocyte is, is filled with a single large lipid droplet, andÉ
Also, we've got chondroblasts that become chondrocytes.
Now, next week I'm going to talk to you about endothelial cells and mesothelial cells, and I'm going to describe them as epithelium, not connective tissue.
ButÉ
by rights, because of their embryonic derivation from mesenchymal cells, they are considered to be connective tissues, but they don't behave like connective tissues, so I lump them in with epithelia, because they behave like epithelia, and you'll see what I mean in a minute. But anyway, I'm just explaining that up front, why those are there.",yes
"CT Components: The End
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
proteoglycans adhesive glycoproteins CT cell Ground Protein
substance
fibres
â¢ many different types of CT
â¢ despite the heterogeneity of CTs, all consist of the same basic âingredientsâ: cells, fibres, GS
â¢ type, proportion of these ingredients varies between CTs, determines the characteristics of
the tissue, therefore function
15","So, the end. That's the components. There's many different types of connective tissue, and despite the heterogeneity of theseÉ all these types of connective tissues, they all have the same ingredients.
Cells?
Fibers, different types of fibers in different proportions, and ground substance with different
Types of proteoglycans, different types of adhesive glycoproteins.
So the type and proportion varies and determines the characteristic of the tissue, therefore where you're going to find it, what it's going to be doing for you.
So now what I want to do is describe the classification of connective tissues, and perhaps put this into a better context with respect to theÉ where these things are used in the body.",yes
"A Classification of Connective Tissues
Connective Tissue
Ordinary Connective Tissue Supporting Connective Tissue
âConnective Tissue Properâ
Loose Ordinary CT Dense CT Specialized CT Proper Cartilage Bone
a.k.a. âareolarâ CT dense regular reticular CT
dense irregular adipose tissue
16","So now what I want to do is describe the classification of connective tissues, and perhaps put this into a better context with respect to theÉ where these things are used in the body.
Oops. So connective tissue is divided up into ordinary connective tissue, or connective tissue proper.
And supporting connective tissue. Supporting connective tissues are cartilage and bone.
Ordinary connective tissue, Are either,
Loose connective tissue, kind of goopy connective tissue, much like the jello salads, or dense connective tissue.
And this will be dense, regular, irregular. I'll describe just one slide on each one. And specialized connective tissue, reticular and adipose.",yes
"Ordinary Connective Tissues Ordinary CT
1. Loose CT: a.k.a. areolar CT
1. Loose CT 2. Dense CT 3. Specialized CT
â¢ fewer fibres, more cellular, more GS by volume
â¢ provides attachment but allows independent movement, provides immunological defense
17
Access for free at: https://openstax.org/books/anatomy-and-physiology-2e/pages/4-3-connective-tissue-supports-and-protects","So I'm gonna start with loose connective tissue.
or areolar connective tissue. So here'sÉ here's my graphic up here, right?
So, ordinary connective tissue. First, we have loose connective tissue.
Also known as areolar.
Not so many fibers.
It's got more cells and more diff- and different cell types. It's mostlyÉ see, this is bolded, it's mostly ground substance by volume.
So this is the closest to my Jell-O salad.
It provides attachment between adjacent structures, but allows, independent movement. So by that, I mean you've got ordinary connective tissue between the different muscles, say, in your forearm.
And ordinary connective tissue that's surrounding the blood vessels and nerves and lymphatic vessels that are running up and down your arm. All these things are connected to each other.
Right? There's not air between them.
There's ordinary connective tissue between them, and it's allowing them to move independently relative to each other, because it's got a lot of give to it.
But it's holding things together. But the other thing is, because of theÉ I say here it's more cellular. It's filled with immune-competent cells.
It's filled with immune-competent cells, and those cells, can detect antigen.
So, this is just a little cartoon of ordinary connective tissue, showing you the different fiber types, a couple of different cell types, but mostly ground substance, right? ThisÉ all this yellow is ground substance.",yes
"Ordinary Connective Tissue, cont. Ordinary CT
2. Dense CT: densely-packed collagen fibres,
1. Loose CT 2. Dense CT 3. Specialized CT
fewer cells, less GS
a) dense regular CT: fibres
arranged in cord-like
parallel arrays
â â´ imparts tensile strength
along one axis
â e.g., tendons* and ligaments*
b) dense irregular CT: fibres
form a meshwork sheet
â imparts tensile strength
in >1 direction
â e.g., organ capsules
18
Access for free at: https://openstax.org/books/anatomy-and-physiology-2e/pages/4-3-connective-tissue-supports-and-protects","Now, what about here? Let's go up to this graphic again. What about dense connective tissue? Dense connective tissue
It's all about the collagen fibers.
It's all about the collagen fibers, they're densely packed together. There's not so many cells, there's not so much ground substance. It's just a whole bunch of these.
A whole bunch of these strings, all packed together, with not a whole lot in between them. The occasional fibrocyte, right? Not much ground substance. Just a whole bunch of collagen fibers.
Now, the two types of dense connective tissue, dense regular and dense irregular. In dense regular connective tissue, the fibers are all aligned parallel to each other. So if I had hundreds of these lengths of rope.
ThatÉ and they'reÉ and I grab them, and I line them all up, that would represent dense, regular connective tissue. So what's it really good at? It's really good at resisting tension along one axis.
So where would we want that? Tendons and ligaments.
So, a tendon connects muscle to bone. A ligament connects bone to bone.
That's the difference between a tendon and a ligament.
So let's talk about a tendon for a second. What a tendon does is it attaches muscle to bone, like I said.
So, I have a tendon that's connecting my bicep, to my forearm.
So it's maybe this long, okay? And it's connecting my bicep muscle.
To my forearm. Here's my bicep.
When my bicep shortens, when the muscle shortens, the tendon faithfully transmits that tension to the bone.
And the bone has to follow.
If the tendon was made of elastic fibers, Right?
And the muscle applied tension to theÉ to the tendon. The tendon doesn't have toÉ the bone doesn't have to follow, because this is so forgiving.
This doesn't forgive.
So the muscle shortens.
The tendon, which is this long, stays that long, and it pulls the bone. You see it?
So weÉ that's whatÉ an example of where we have dense regular connective tissue.
Dense, irregular connective tissue. Now, this time, the collagen fibers are not all parallel to each other, they're going every which way. They're going every which way. So they create a sheet, like canvas.
You know how canvas fabric is so strong, and you can pull it this way, and you can pull it this way, and you can pull it this way?
And no matter which way you pull that sheet of canvas fabric, it resists The tension.
So that's dense, irregular connective tissue. The fibers form a meshÉ meshwork sheet that,
withstands pull in every direction. So it creates organ capsules. It'll encapsulate your liver, separating your liver and encapsulating the liver.
Okay, that's an example, organ capsules.",yes
"Ordinary Connective Tissue, cont. Ordinary CT
3. Specialized CT Proper
1. Loose CT 2. Dense CT 3. Specialized CT
a) reticular tissue: dominated by
delicate reticular fibres, a type of
collagen fibre
â 3D array of interwoven reticular fibres
â organize and support the functional cells
(a) Reticular CT
of certain organs
b) adipose tissue: mostly adipocytes
by volume
â energy storage
â supported by a delicate reticular fibre
stroma
(a) Adipose CT
â very vascular
19
Access for free at: https://openstax.org/books/anatomy-and-physiology-2e/pages/4-3-connective-tissue-supports-and-protects","Specialized connective tissue. Reticular tissue is dominated by a type of collagen fiber, called, reticular fibers.
They're very fine and delicate, they're not so strong. But what they do, they do something kind of interesting, is they organize themselves into a three-dimensional array.
And it creates a scaffolding.
Creates a scaffolding, and the cells of the tissue can organize themselves within the spaces created by this scaffold.
I'm gonna show you an analogy.
On the next slide, and I'll come back to adipose. So this is one honkin' big scaffold, okay? And so theÉ you all know what the scaffolding is. It's made up of these,
pipes, metal pipes, but think of it as protein fibers. It's made up of protein fibers that arrange, make a three-dimensional array, and now there's spaces in between the fibers, just like there's spaces in between the pipes of the scaffolding.
So there's a three-dimensional array.
The spaces within the scaffold are occupied by the workers. And the workers can move around, they hold onto this pipe, and they move on, and they hold onto this pipe, and they can move around in the spaces created by this three-dimensional array of reticular fibers.
So the workers are the functional cells.
And the reticular fibers, are the, are the scaffolding.
So, adipose tissue is an example of a tissue in which the functional cells, the adipocytes, RÉ
occupying the spaces between the reticular fibers, so there's a good relationship between the adipocytes and the reticular fibers. They fill that space, gives themÉ gives them organization.
So that's reticular connective tissue.
Adipose tissue
is a tissue that's dominated by adipocytes. So you do find adipocytes here and there in the ordinaryÉ in the areolar connective tissue, for instance. You'll find adipocyte here and adipocyte there. In fact, the illustrator put a couple of adipocytes into the picture, the drawing, of areolar connective tissue.
But once the adipocytes dominate, and that's pretty much all you see in the tissue, we no longer call it areolar connective tissue, we call it
adipose tissue.",yes
"â¢ chondrocytes sparse but essential
Cartilage: Characteristics
& Functions
â¢ fibres impart limited tensile strength
Trachea in cross section
Respiratory epithelium
â¢ GS binds water more strongly than any other CT, making
Lumen
cartilage able to withstand huge compressive forces
Cartilage
â¢ â´ ECM firm, pliable, resilient, smooth
â¢ gives structure to soft tissues without being rigid
â¢ avascular, no lymphatic vessels, no nerves
chondrocytes
ECM â¢ because cartilage is avascular:
ECM
â cells are nourished by nutrient / gas diffusion through the ground
substance from vessels in surrounding tissues
ECM
ECM
â cartilage repairs slowly if at all 22","Alright, cartilage and bone.
SoÉ Cartilage. Characteristics of cartilage, what's its function? The cells are called chondrocytes.
when you're developing cartilages as an embryo or a child, they're chondroblasts. In adults, they've all settled down, and we call them chondroÉ
sites. They're sparse, but they are essential, because if they die, then the cartilage degrades. The fibers in the, in the, cartilage provides
tensile strength. But the collagen in cartilage is not as strong as the collagen that we find in a tendon, a ligament, in bone. That, that class, remember there's over 25 different types of collagen, right?
So, collagen type 1 is what you find in bone and tendons and ligaments. Cartilage contains a different type ofÉ sorry, cartilage takes aÉ contains a different type of collagen that's not as strong.
Alright?
So it's got limited tensile strength. You can tear a cartilage, as you might know.
Now, the thing about cartilage, its superpower is the proteoglycans in cartilage,
bind huge amounts of water really, really tightly. And that makes cartilage able to withstand huge compressive forces, but it's deformable. See, bone withstands huge depressive forces.
Right?
But it'sÉ but it's solid.
Cartilage is kind of rubbery.
It's like a hockey puck.
SoÉ
The extracellular matrix is firm, it's pliable, it's resilient, which means it bounces back to its original shape after you deform it, and it's smooth.
It gives structure to soft tissues without being rigid.
So, it gives support, for instance, to the airways, your trachea. It gives support to your airways.
But it's not rigid.
It is unlike all other types of connective tissue.
Cartilage is avascular. What does that word mean?
Yeah.
Yeah, it has no blood vessels in it.
A implies the absence of. A vascular. It has no blood supply, it has no lymphatic vessels, it has no nerves.
Now, because cartilage is avascular, The cells, have to be nourished by diffusion of oxygen
Through the matrix of the cartilage to theÉ and so, if you look at this picture here, this pink represents the matrix of the cartilage, and these dark things are the nuclei of the chondrocytes.
And so, this picture here is taken from this lower magnification picture of a trachea.
So here's a niceÉ A piece of cartilage, and there's connective tissue
that does have blood vessels on this side of the cartilage, and there's connective tissue that does have blood vessels on this side of the cartilage. So oxygen has to diffuse through this cartilage matrix to get to the chondrocytes. Carbon dioxide has to diffuse back. Same with nutrients and wastes.
So, the cells are nourished by gas diffusion through the ground substance.
So cartilage can only get so thick before the cells at the center are not close enough to the blood vessels. It limits the size of the cartilage. It also means that cartilages repair slowly, if at all.
In particular, in the adult.
Because they have no, no direct blood supply.
So cartilages haveÉ they're wonderful, malleable, change their shape, bounce back.
But, you know, when they're injured, they don't repair terribly well.",yes
"There are Three Subtypes of Cartilage
23
From Junqueiraâs Basic Histology, Text & Atlas, 14th ed., by A. Mescher, Â© 2016 McGraw Hill","So there's 3 types of cartilage. There is hyaline cartilage, shown here. You're not expected to recognize the different tissue images, I'm justÉ it'sÉ
It's for your entertainment and mine. Here's hyaline cartilage, and that's what I was showing you on this page. This is hyaline cartilage. Hyalose isÉ I think that's Greek, in fact, and it means glass.
And it's thisÉ this cartilage is shiny and smooth, like glass. So this is hyaline cartilage.
It's the most abundant cartilage. It's a blue in this diagram, so you have it in all your joints. This is the cartilage that's disrupted in arthritis, for instance, hyaline cartilage. You have it as part of your rib cage. You have hyaline cartilage,
In your nose, your cartilages of your nose are hyaline. The second type's called elastic cartilage. Elastic cartilage is in your ear, so if you twist your ear, it just bounces right back, because that's made up of elastic cartilage. Another place is in the larynx. I get to tell you about the larynx, fascinating thing.
And it's got a flap, the epiglottis, that closes over it and opens it. And that's elastic cartilage. Very snappy kind of cartilage. Change it, and change its shape, bounces right back.
Then there's something called, fibrocartilage, and the thing about fibrocartilage is is thatÉ
Remember I said that the collagen fibers in cartilage are not as strong as the collagen fibers in a tendon?
Right? Well, here's the exception.
So that's true of hyaline cartilage and elastic cartilage, which has a whole lot of elastic fibers in it, not surprisingly.
That's how it got its name and its characteristics. Fibrocartilage, fibroÉ
It doesn't have that weak cartilage. It has the strong cartilage that you find in tendons, and bone, and ligaments.
Okay?
So, but it's got the, ground substance of cartilage.
And the ground substance of cartilage, what's its superpower? Binds water really, really tightly, resists compression.
So, I always think of it as this love child that's born ofÉ of, dense regular connective tissue, or dense irregularÉ dense connective tissue.
And hyaline cartilage.
Because you've got the collagen fibers that resist tension, and you've got the matrix that resists compression. So that's why fibrocartilage is much stronger.
Resists, tension, resists compression. Where do we find it? Look at the red here in the vertical column.
So we find it in the intervertebral discs, which I'll describe on Thursday, the discs that are between the adjacent vertebra.
withstanding compression all day long, because your body weight is pushing down your vertebral column, compressing those intervertebral discs. That's fibrocartilage.",yes
"Bone Composition: Matrix
~ 1/3 organic matter: osteoid
â¢ ~ 90% of osteoid is collagen fibres
â¢ ~ 10% of osteoid is GS: adhesive glycoproteins and proteoglycans
â¢ organic components of bone matrix impart tensile strength and flexibility to bone
â¢ osteoid becomes mineralized in the process of matrix formationâ¦.
~ 2/3 inorganic matter
â¢ osteoid is mineralized largely by calcium
â also: phosphate, bicarbonate, citrate, magnesium, potassium and sodium
â¢ mineralization of osteoid imparts compressional strength on bone tissue
â¢ surface crystals are hydrated, which promotes the exchange of electrolytes between bone
matrix and blood
â¢ bone tissue to act as a reservoir for minerals
24","Now, a word or two about bone.
Now, the extracellular matrix of bone, You might be surprised.
That a third of it is organic.
We call it osteoid.
And the vast majority of osteoid is
Collagen fibers, those strong collagen-type 1 fibers that you find in ligaments and tendons. So 90% of osteoid is collagen fibers.
And then the 10% of osteoid is going to be ground substance, so adhesive glycoproteins that are just holding everything together.
So, the osteoid, the organic components of bone matrix, are really important because, functionally, what they do for bone is they give it great tensile strength. So, I can attach my tendons and my ligaments to the bone.
And the bone will, transfer those tensile forces, into its matrix.
So its matrix is full of these collagen fibers, just like the tendon is. It's almostÉ it's not like the tendon is, like, glued to the bone. The tendon becomes part of the bone.
That's how strong the attachment is. So there's lots and lots of collagen fibers in bone. That imparts tensile strength, but it also imparts flexibility to your bones. Your bones will bend before they break.
And that's because of the collagen fibers that are present within the bone matrix.
If the collagen fibers are lost through disease process, you end up with brittle bones, and then they break more easily. Osteoid ultimately becomes mineralized in the process of the formation of bones, and it's mineralized,
Two-thirds of the bone is the, the minerals, the inorganic matter, that, is, is embedded in the osteoid.
So, osteoid is mineralized largely by calcium. As I'm sure you're aware, there's lots of calcium in your bones. It's aÉ it's a storage depot for calcium. Also, phosphate, bicarbonate, citrate,
potassium, sodium, magnesium, so it's basically a depot for all of these minerals that your body needs. As your body needs them, the bone will release the minerals, and then when you have an excess.
it'll get deposited into the bone. So your bone is very dynamic. It's constantly giving up minerals, and then depositing minerals, and maintaining the plasma levels of calcium and magnesium and citrate.
So, the mineralization of the osteoid
is what gives the bone its compressional strength. The surface crystals are hydrated.
Meaning, so there's water bound to the surface crystals of the osteoid, of the mineralized bone matrix, I should say, and that facilitates the movement of minerals in and out, between the plasma and the bone.
So it's a reservoir for minerals. Now, bone takes two forms, but remember, bone is richly vascularized. It's only cartilage that doesn't have a blood supply.",yes
"Bone tissue takes two forms, both richly vascularized :
Bone Tissue
â¢ compact (cortical) bone (A) superficially
â¢ spongy (cancellous or trabecular) bone (B) deep
â spaces within spongy bone contain red bone marrow
â red bone marrow the location of hematopoiesis*
All bones have a cortex comprised of compact bone and
a medulla comprised of spongy bone.
B A
The chemical makeup of the bone matrix is the same in
spongy and compact bone; itâs just arranged differently.
25
From Histology: A Text and Atlas, 7e by W. Pawlina Â© 2016 Wolters Kluwer","Bone, you break a bone, it bleeds.
It's full of blood vessels. Now, bone can either be compact, this is compact bone right here, orÉ
It can be spongy.
Because it looks like a sponge. When we blow it up and look at it more closely, look at B is spongy bone. It's got these little spicules of bone, but there's spaces in between. It's almost like that scaffolding again. The spaces are filled with hematopoietic cells, that is, blood-forming cells. This is bone marrow.
The compact bone, there's no bone marrow in the compact bone.
So, all bones have a cortex and a medulla. Now, the word cortex is a general term, everybody thinks of it with regard to your brain.
Cortex is a general term for the superficial layer of any organ.
So your brain has a cortex, your bones have a cortex, your kidneys have a cortex, your adrenal glands have a cortex, I could go on, but it's 1159, 1059.
So the chemical makeup of the bone is exactly the same in spongy bone and compact bone. It's exactly the same chemically.
It's just got a different architecture.
And the compact bone is stronger with the compressive forces. The spongy bone
What it does is it lightens the bone, but it's stillÉ the spicules are oriented along the compressive, the compression lines of the forces.
So that's what I wanted to say about bone tissue, and that's the end.",yes
"The Brain and Subdivisions Coronal
MRI
â¢ brain inc. right and left cerebral hemispheres, brainstem, cerebellum
â¢ transverse fissure btw cerebrum and cerebellum
â¢ longitudinal fissure btw cerebral hemispheres
â¢ cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
â¢ brainstem: midbrain, pons, medulla
â¢ cerebellum
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer
4","So, histology is microscopic anatomy. We use it to study cells, tissues, and ultimately we do use it to study organs. It's foundational for understanding tissue function, or body function. It's foundational for biochemistry, and of course for pathology.
Diseased tissues.
Cells are the basic units of the human body.
Differentiation, is the selective expression of different genes in different cells in the body, that gives us, ultimately, over 200 different types of cells.
Now, the picture at the bottom is just meant to impress you. So we're looking at the kidney on the left.
This is what's called a dorsal root ganglion, so this is a neuron here with support cells all around it. This is a type of muscle called smooth muscle. So these all, are very, very different from each other.
obviously very different from each other. And that's just the result of, of, differential expression of, of genes in cells.
that are faded to become different tissues, different organs. SoÉ
Tissues will have, similarities, tissues will have differences.",no
"The Skull: Anterior View Frontal bone
â¢ forms forehead, roofs of orbits
â¢ supraorbital foramen / notch
â supraorbital nerve
Maxillary bones
â¢ infraorbital foramen
â infraorbital nerve
â¢ superior alveolar process
â houses maxillary teeth
Nasal bones
Zygomatic bones
Mandible
â¢ inferior alveolar process
â houses mandibular teeth
â¢ mental foramen
â mental nerve
5
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer","So, basic tissues. Cells and their products, bold.
form tissues. So it's not just the cells, but the products those cells produce and secrete.
Come together to make a tissue.
So, what is a tissue? In that graphic I showed you earlier, it talked about a community of cells and cell products. So, it's a relatively homogeneous collection of cells that have structural similarities.
And, and also their cell products.
So if you look over here at the picture I showed you, these cells, this is many cells, each of these is a nucleus, so these are all structurally similar cells. They're not similar to this cell.
So you see these, this is one type of tissue, this is a different type of tissue.
So basic tissues are often divided into four categories based on structure function. I'm going to start with connective tissue, because I'm going to talk about the vertebral column on Thursday, so I want to talk about bone. That's where I'm headed.
There's a second type of tissue called epithelia, I'll talk about that next, and muscle and neural tissues.
Each of them has a superpower.
Right? And, muscle, for instance, its superpower is the ability to contract, and when it contracts, it generates tension.
That's its superpower. Neural tissue, its superpower is about communication.
So, basic tissues come together.
And form organs.
So you take this type of connective tissue, and this type of muscle, and this type of neural tissue, and then you line it with this kind of epithelia, and then it's a certain organ. But if you used a different epithelium, or a different muscle, it would be a different organ. So it's all about the ingredients that go into creating the organ.",no
"The Skull: Superior View
Frontal bone
R, L parietal bones
â¢ the coronal suture, bregma
â¢ the sagittal suture
Occipital bone
â¢ the lambdoid suture
6
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer","Now, connective tissues, to me, are like jello salads. So there was a time in the world when, mothers thought that this was a good idea. And this is what's called a jello salad.
Now, I think jello is still a thing, right? People know what Jell-O is.
But what they would do, to make a jello salad is they would take
a bunch of interesting things. In this case, they're taking olives, and celery, and bits of cheese, so they're taking a variety of different things. So that represents the various different cells that you're going to find in a connective tissue. And then these ingredients are suspended
Within this gelatinous substance.
Okay? This is what connective tissues are like. But instead of olives and celery and cheese, in an ordinary connective tissue, and I'm stepping on the word ordinary.
In an ordinary connective tissue, as opposed to cartilage and bone.
So in an ordinary connective tissue, there's anÉ there can be a few different cell types, but the cells are all suspended within an acellular material that the cells produced.
And we call that material extracellular matrix. Extra means outside of. Extracellular, outside of the cell.
Matrix.
So that, that's what all the cells are suspended within.
Most of the salad.
Most of the salad is jello. Most of ordinary connective tissue is the extracellular matrix. The cells make up a smaller part of the tissue as a whole, volume-wise.
Okay?
Now, the extracellular matrix dominates, and it determines the characteristics of the tissue, so if you have a solid extracellular matrix, then you've got a solid connective tissue. That's what bone is. The extracellular matrix is solid.
If you've got a rubbery extracellular matrix, so you can kind of bend it and deform it, and it bounces back.
Then the connective tissue is going to be rubbery, and that's what cartilage is.
If the extracellular matrix is gelatinous.
Then the connective tissue is going to be gelatinous, and that's ordinary connective tissue.
Kind of gelatinous, gooey.
Now, if the extracellular matrix is liquid, then the connective tissue is liquid. Now, blood, by virtue of its embryological origin, is a connective tissue. We study it separately, because it is really quite different.
But the original cells that give rise to bone in the embryo give rise to cartilage, give rise to ordinary connective tissue. Those cells also give rise to blood.
Alright, so it can be considered a connective tissue. And I like to mention it here because it illustrates my point, which is the extracellular matrix determines the characteristics, therefore, the use of the connective tissue.",no
"The Skull: Posterior View
Right, left parietal bones
â¢ sagittal suture
Occipital bone
â¢ the lambdoid suture, lambda
â¢ external occipital protuberance
Mandible
7
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer","I want you to remember what I said just a minute ago. A tissue is cells plus cell product.
And the extracellular matrix, that's cell product.
Some tissues are mostly cells. You'll see that with epithelia, muscle, neural tissues, mostly cells. But, connective tissues are mostly cell product.
And collectively, we call that extracellular matrix, and there's fewer cells. So this is my, attempt to illustrate connective tissue down here. See the CT right here?
So, the gray things represent the cells, so we've got 4 cells in my picture. Everything else in this yellow, everything else is extracellular matrix.
And this extracellular matrix, it fills the space between the cells, it supports the cells. What's it made of, though? I've told you it's cell product, but what is it?
It's composed of protein fibers, so I've represented the protein fibers with the pink squiggly lines.
And I've represented protein fibers with the black lines. Those are the protein fibers. And like the cells, the protein fibers are embedded in this amorphous jello, that's called ground substance. So you notice the word ground substance is just pointing at the yellow.
So all this yellow stuff is ground substance, and the protein fibers and cells are suspended within that ground substance. The red here, that's turning into blue, that's my attempt to represent a capillary bed.
So you've got blood flowing into your connective tissue, here's a capillary bed for gas exchange, and then here's a vein flowing away. So that's me trying to represent the blood supply to the connective tissue. All right, so now, this yellow amorphous stuff, we call it ground substance, what's it made of?
It's made of organic molecules, again, produced by the connective tissue cells, plus
Tissue fluid that binds to those organic molecules.
So we've got tissue fluid bound to organic molecules, the organic molecules are produced by the cells.
So we're going to consider each component briefly in turn. So here's my little flowchart. Connective tissue is made of cells and cell product. That's the ECM.
cells and extracellular matrix. The extracellular matrix is made up of protein fibers and ground substance.
What is that ground substance? It sounds likeÉ what is that? Well, it's organic molecules that bind water to varying degrees.
So the tissue fluid is the water, and there's the organic molecules. So that's my little flow chart, and we're going to look at these each in turn.",no
"The Skull: Lateral View Occipital bone
Parietal bone
Frontal bone
Nasal bone
Maxilla
Zygomatic bone (zygoma)
Mandible
â¢ head, ramus, angle body
â¢ mental foramen
Sphenoid bone
â¢ greater wing
Temporal bone
8
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer","So, where does the extracellular matrix come from?
As I've said, connective tissue cells, here it is in the flow chart, they produce and secrete the protein fibers, the pink squigglies and the black lines, they produce the protein fibers, they produce the organic molecules, the organic components of the ground substance.
In the extracellular space, so once these organic molecules are secreted, they bind tissue fluid. Now we call that, combined together, ground substance.
Now, when I talk about,
connectiveÉ When I talk about connective tissue, as I've said, we've got ordinary connective tissue, cartilage, and bone.
So it'sÉ there's a huge variety of connective tissues that represents different proportions of different types of fibers. Different types of fibers, different types of organic molecules in the ground substance. That's how we end up with all the great variety of connective tissues.
The cells are specialized. So the cells in ordinary connective tissue are different from the cells in cartilage, bone, and blood. So we have different names for them. So the cells, in ordinary connective tissue, we call it fibroÉ they call them fibrocytes.
In cartilage, we call them chondrocytes. From this day forward, when you hear the word chondro, you think cartilage.
Okay?
Then there's osteocytes. Those are the cells, in bone.
From this day forward, when you hear osteo, you think bone, and then blood cells.
So the cells are specialized for a given connective tissue type.",no
"Zygomatic arch
The Temporal Bone
â¢ temporal bone and zygoma
Squamous part of temporal bone
Squamous suture
External acoustic meatus
Temporomandibular joint / TMJ
Mastoid process
â¢ mastoid air cells
Styloid process
Pterion
9
Mooreâs Essential Clinical Anatomy, 7e, Â© 2023 by Wolters Kluwer","fibers. I'm going to talk about fibers first. So I've got a little circle around fibers here. So different protein fibers have different properties.
So, there's wide varieties of protein fibers that connective tissue cells can produce, but there's two main groups, and we'll just learn about those. There's collagen fibers, there's more than 25 different collagenÉ who knew? More than 25 different collagens, in the human body.
In general, and, theyÉ what they do to a tissue is they impart tensile strength, the ability to resistÉ
Tension.
That's what those collagen fibers do.
The second class of protein fibers in connective tissue are elastic fibers. Like the name suggests, they give
Right? Under tension. Quite the opposite of collagen fibers, aren't they? But then they bounce back.
So now I brought a demonstration of this from home, and I don't want toÉ don't wanna overwhelm you with technology. So thisÉ but this is a string, okay? So this represents my collagen fibers.
So when I pull on the collagen fiberÉ remember in my picture, the collagen fiber's wavy and pink.
Right? So here's my collagen fiber. So this tissue that has collagen fibers in it, it can deform, but there's limits. At some point.
Right? That tissue, it doesn't give.
Under tension.
So collagen fibers will never lengthen.
So that's a collagen fiber.
Elastic fiber, brought a bungee cord, okay? So here, if you put tension on a bungee cord, elastic fiber, it'll give. Look at this. It's straight.
Okay? And then when you take the tension away, The elastic fiber bounces back.
So different places you have connective tissue, you want it to have resiliency. You want it to give and bounce back.
Other places, you don't want it to give, you want it to maintain its length. I'll show you different examples, and it'll make all kinds of sense to you.
Now whatÉ usually, there's a mixture. So the thing about elastic fibers is they stretch and bounce back, but they're not terribly strong. If you pull hard enough, it'll snap.
So let's do something clever. Let's put the elastic fiber and the collagen fiber in the same tissue, okay?
And now what's gonna happen? I'm gonna pull on the elastic fiber, it's gonna give, right?
But look, the amountÉ the amount it's gonna give is limited by the collagen fiber. So I'm not going to break the elastic fiber, because there's limits to how far it'll stretch, okay?
So by putting them together, you make a type of connective tissue that has both properties. It'll give.
It'll bounce back, but it won't break.
There's limits, okay? And that limit's imposed by the collagen fibers.
So, each, connective tissue has its own composition.
Different proportions of different connectiveÉ of different fiber types that determine its characteristics and function.
So if you have a whole bunch of these collagen fibers, say I had 20 of these, right, and I applied tension to it in this one direction, that would be really, really strong. And there's places in the body where the collagen fibers are very abundant and lined up in the same direction. We call those tendons, or ligaments.
Right? And they don'tÉ they don't give.",no
