text,question,relevant
"Learning Outcomes
On mastering the content of this lecture, students will be able to describe
• describe the basic subdivisions of the brain
• describe the bones of the skull and their major features
• describe the cranial meninges, dural reflections and dural venous sinuses
3",The peritoneal derivative that connects the stomach to the liver is the __________  __________. (Enter two words.),no
"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",Pain due to inflammation of a midgut derivative refers to the __________ region of the body wall. (Enter one word.),no
"The Skull: Anterior View Frontal bone
• forms forehead, roofs of orbits
• supraorbital foramen / notch
– supraorbital nerve
Maxillary bones
• infraorbital foramen
– infraorbital nerve
• superior alveolar process
– houses maxillary teeth
Nasal bones
Zygomatic bones
Mandible
• inferior alveolar process
– houses mandibular teeth
• mental foramen
– mental nerve
5
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer","During the descent of the testis, the deep inguinal ring is formed as the testis passes through the __________. (Two words. Enter the name of the layer of the abdominal wall. Use no punctuation.)",no
"The Skull: Superior View
Frontal bone
R, L parietal bones
• the coronal suture, bregma
• the sagittal suture
Occipital bone
• the lambdoid suture
6
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer","The two subdivisions of the peritoneal cavity are the 
greater
 and 
lesser
 sacs. (Enter one word for each blank.)",no
"The Skull: Posterior View
Right, left parietal bones
• sagittal suture
Occipital bone
• the lambdoid suture, lambda
• external occipital protuberance
Mandible
7
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer",The position of an abdominal organ that is attached to the body wall by a mesentery is described as being ___________. (Enter one word.),no
"The Skull: Lateral View Occipital bone
Parietal bone
Frontal bone
Nasal bone
Maxilla
Zygomatic bone (zygoma)
Mandible
• head, ramus, angle body
• mental foramen
Sphenoid bone
• greater wing
Temporal bone
8
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer",The layer of the abdominal wall that lies between the endoabdominal (transversalis) fascia and the parietal peritoneum is the __________ fascia.  (Enter one word.),no
"Zygomatic arch
The Temporal Bone
• temporal bone and zygoma
Squamous part of temporal bone
Squamous suture
External acoustic meatus
Temporomandibular joint / TMJ
Mastoid process
• mastoid air cells
Styloid process
Pterion
9
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer","Of the three subdivisions of the small intestine, the __________ has the greatest surface area per unit length. (Enter one word.)",no
"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull: Inferior View Occipital bone
• occipital condyles
articulate with C
1
Temporal bones
• mastoid process
• styloid process
• mandibular fossa
– articulates with
head of mandible
• contributes to
zygomatic arch
11",The portal triad lies in the ___________ ligament of the lesser omentum.,no
"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull: Inferior View Zygomatic bone
(zygoma)
• contributes to
zygomatic arch
Sphenoid bone
Maxilla
• palatine process
Palatine bones
• horizontal plate
Vomer
12",The renal hilum opens into a fat-filled space within the kidney called the renal __________. (Enter one word.),no
"The Paranasal Sinuses
• paired
• named according to bone
• open into nasal cavities
• lined by mucous membrane
frontal sinuses
ethmoid air cells
maxillary sinuses
sphenoid sinuses
13","The anorectal flexure is maintained by the __________ muscle, a subdivision of the levator ani.",no
"CT Components: Organic Components of GS
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
proteoglycans adhesive glycoproteins CT cell Ground Protein
substance
fibres
Proteoglycans are negatively charged, can be intensely hydrophilic molecules; responsible for:
• consistency of matrix,
• turgidity & ability of CT to resist compression
Adhesive glycoproteins stabilize the ECM by linking its components to cell surfaces
• have binding sites for protein fibres, proteoglycans & cell membranes
12",What general role do proteoglycans play in determining the physical properties of connective tissue?,yes
"From Moore’s Essential Clinical Anatomy, 7e, © 2019 by Wolters Kluwer The Bony Thorax • components: – 12 thoracic vertebrae & IV discs – 12 pairs of ribs – sternum (manubrium, body, xiphoid process) • costal cartilages (cc) extend ribs anteriorly – hyaline cartilage – contribute to elasticity of thoracic wall • true ribs 1-7, false ribs 8-10, floating ribs 11-12 • cc of ribs 7 – 10 form the costal margin • intercostal spaces 1 - 11 4",How does the skeletal system contribute to protecting vital organs in the body?,no
"The Sternum and Articulation of Costal Cartilages • consists of the manubrium, body and xiphoid process • manubrium – jugular (suprasternal) notch – clavicular notch articulates with medial end of clavicle – articulates with cc 1st ribs • manubriosternal joint – at the sternal angle – costal notches of 2nd ribs • body – costal notches of 3rd – 6th ribs • xiphisternal joint – costal notches of 7th ribs • xiphoid process From Moore’s Essential Clinical Anatomy, 7e, © 2019 by Wolters Kluwer 11",What types of joints allow movement between different bones in the human body?,no
"Lung Lobes
Right lung has 3 lobes: superior, middle, inferior; Left lung has 2 lobes: superior, inferior
• note cardiac notch and lingula of left lung
• note hilum in mediastinal surface of both lungs
Root of lung: the airways, blood vessels, nerves, lymphatics entering / exiting at its hilum
• root enclosed in loose CT and pleural sleeve
19
From Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer",How does the respiratory system ensure that oxygen is delivered throughout the body?,no
